id,località,elettori,votanti,bianche,nulle,Partito Democratico per l'Abruzzo,Legnini Presidente,Avanti Abruzzo - Italia Dei Valori,Progressisti - Liberi e Uguali,Abruzzo in Comune - Regione Facile,Centro Democratico + Abruzzo,Abruzzo Insieme - Abruzzo Futuro,Centristi per l'Europa,Lega,Forza Italia,Fratelli d'Italia,Azione Politica,Unione Di Centro - Democrazia Cristiana - Idea,Movimento 5 Stelle,Casapound Italia
1,Scuola Elementare M. Schiazza,809,427,1,9,86,45,9,6,7,5,3,0,97,23,21,2,2,91,3
2,Scuola Elementare M. Schiazza,962,528,2,14,71,55,15,12,7,7,3,1,141,15,42,3,2,123,7
3,Scuola Elementare G. D'Annunzio,823,428,3,9,67,30,7,9,11,4,0,4,133,23,18,3,6,84,1
4,Scuola Elementare G. D'Annunzio,886,462,6,11,66,55,7,12,8,7,1,2,134,25,32,2,1,69,2
5,Scuola Elementare G. D'Annunzio,930,459,8,10,73,39,19,6,5,7,4,1,119,26,36,1,2,81,6
6,Scuola Materna G. Milli,1209,635,5,10,122,55,12,16,15,6,2,2,152,34,36,9,7,105,9
7,Scuola Elementare P. Celommi,1159,611,9,18,108,61,13,12,8,6,5,1,160,34,36,10,10,89,7
8,Scuola Elementare P. Celommi,1151,522,4,22,123,44,13,8,3,5,2,1,152,28,24,3,8,85,3
9,Scuola Elementare P. Celommi,1087,537,4,14,74,33,23,14,9,7,0,1,157,14,24,17,4,109,6
10,Scuola Media F. Romani,1215,592,6,8,80,48,16,20,9,6,5,1,150,36,26,3,3,121,4
11,Scuola Elementare S. Petronilla,890,561,3,14,51,36,80,8,12,0,2,7,183,22,16,5,7,103,5
12,Scuola Elementare Voltarrosto,1033,549,10,15,78,26,19,17,4,7,1,2,165,34,26,3,5,114,5
13,Scuola Elementare Voltarrosto,1026,530,4,13,73,48,17,11,5,2,0,0,165,35,24,2,5,102,6
14,Scuola Elementare Voltarrosto,1145,620,4,7,87,60,19,14,8,5,0,3,211,36,29,11,6,112,4
15,Scuola Materna Casal Thaulero,508,255,5,10,17,45,7,0,7,4,2,0,91,16,6,0,2,38,2
16,Scuola Elementare Santa Lucia,520,284,2,4,37,43,8,9,7,8,2,1,99,11,2,2,4,45,0
17,Scuola Elementare Santa Lucia,729,391,6,16,61,38,14,3,7,5,0,0,127,11,9,0,1,83,4
18,Scuola Elementare Montepagano,679,364,4,17,64,30,7,5,8,0,1,0,90,19,14,5,3,73,10
19,Scuola Elementare Montepagano,680,408,3,7,74,30,3,7,8,3,2,1,119,30,29,0,1,62,9
20,Scuola Elementare Cologna Paese,1040,596,7,14,68,96,12,9,13,8,5,1,190,21,22,13,3,99,2
21,Scuola Elementare Cologna Spiaggia,890,474,5,23,50,26,2,14,14,4,4,1,158,14,14,17,16,93,5
22,Scuola Elementare Cologna Spiaggia,919,516,7,8,47,42,7,16,4,8,3,8,155,22,26,19,14,109,2
23,Scuola Elementare Cologna Spiaggia,998,545,4,22,65,45,2,22,18,3,1,3,179,13,19,11,5,128,1
24,Scuola Elementare M. Schiazza,901,452,2,8,60,46,9,8,11,8,0,0,139,32,34,8,1,67,2
